cat1,cat2,relatedness,propOverlap
F109,F57,0,0.178017802
M29,F109,0,0.201591512
F108,F109,0.06,0.006336088
F108,F51,0.06,0.10232
F108,F57,0,0.142332415
F108,F61,0,0
F108,M21,0.01,0.339669421
F108,M29,0,0.154269972
F108,M62,0.01,0.499540863
F108,M68,0,0.271808999
F109,F108,0.06,0.00690069
F51,F108,0.06,0.08678
F57,F108,0,0.054434251
F57,M29,0.04,0
F57,M68,0.08,0
F61,F108,0,0
M21,F108,0.01,0.108157895
M21,M29,0,0
M21,M68,0.03,0
M29,F108,0,0.089124668
M29,F57,0.04,0
M29,M21,0,0
M62,F108,0.01,0.166360856
M68,F108,0,0.210227273
M68,F57,0.08,0
M68,M21,0.03,0
