Puma ID,Age (months),Weight (kg),Community,Outgoing tolerance,Pumas tolerated,Receiving tolerance,Pumas that exhibited tolerance to,Betweenness centrality,Eigenvector centrality
M68,22.0,55.0,1,3.0,3,2.0,1,30.0,0.08
M29,54.0,70.0,1,2.0,1,18.0,4,28.0,0.02
M21,72.0,75.0,1,0.0,0,2.0,2,0.0,0.0
F57,105.0,40.0,1,2.0,1,0.0,0,0.0,0.02
F109,84.0,40.0,1,5.0,2,6.0,3,43.0,0.06
F61,82.0,45.0,1,18.0,3,3.0,1,0.0,0.18
F51,70.0,48.0,1,14.0,5,11.0,2,26.0,0.12
UncF2,NA,NA,1,0.0,0,2.0,1,0.0,0.0
M85,84.0,74.0,2,4.0,2,18.0,3,10.0,0.35
F49,72.0,43.0,2,11.0,4,5.0,3,50.0,0.53
F108,76.0,45.0,2,2.0,1,7.0,2,0.0,0.1
F47,84.0,47.0,2,20.0,4,3.0,2,3.0,0.73
UncF,NA,NA,2,0.0,0,4.0,2,0.0,0.0
